Latitude,Longitude,Pct change in death rate
-86.6464395,32.5322367,-9.4
-87.7460666,30.6592183,-2.3
-85.4051035,31.8702531,23.1
-87.1271475,33.0158929,8.3
-86.56644,33.9773575,20.4
-85.7172613,32.1017589,17.3
-86.6819689,31.751667,6.4
-85.8225133,33.7717061,16.8
-85.3940321,32.9155039,-14.3
-85.6542417,34.0695153,7.3
-86.7266071,32.8540514,-2.7
-88.2488894,31.9909539,9
-87.8186244,31.6855211,11
-85.8635254,33.2703999,-3
-85.5161261,33.6719637,7.1
-85.9896022,31.402258,31.3
-87.8014569,34.703112,-9.1
-86.9887221,31.4309257,21
-86.2434818,32.9314453,-1.5
-86.4487206,31.2439873,21.2
-86.3192219,31.7328256,19.3
-86.8692666,34.1319229,11.8
-85.609476,31.4306536,29.3
-87.1143556,32.3335397,5
-85.803992,34.460929,7.1
-86.1427347,32.597229,-0.7
-87.1684097,31.1222867,6.7
-86.0342629,34.0476407,-2
-87.7642923,33.7161568,4.3
-87.8428144,34.4419892,-3.2
-85.8210224,31.0923822,20.9
-87.9642005,32.8444965,9.5
-87.6230608,32.7527958,12.2
-85.2399712,31.5169779,14.5
-85.2964111,31.1581831,23.3
-85.9800556,34.764114,13.1
-86.8965359,33.5534439,0.4
-88.0874309,33.7870852,4.9
-87.6509966,34.9041221,5.5
-87.3218651,34.529776,4
-85.3530477,32.6040644,-3.5
-86.9813995,34.8102387,4
-86.6505859,32.147888,5.7
-85.692887,32.3870267,19.7
-86.5510802,34.7642377,6.9
-87.791091,32.2475911,2.7
-87.881551,34.1382194,13.2
-86.3216681,34.3095637,-2.6
-88.1965682,30.6845725,23.5
-87.3832656,31.5803324,7.8
-86.2044615,32.2028812,5.6
-86.8464021,34.4544844,9
-87.2938269,32.6390053,6.2
-88.0968631,33.2967933,8.3
-85.9416035,31.7986508,24.2
-85.4640679,33.2964753,11.5
-85.1869798,32.2898113,7.4
-86.3156631,33.7129627,-0.1
-86.6780894,33.2630428,-6.2
-88.2000571,32.5974811,2.4
-86.1759302,33.3693135,2.2
-85.7996176,32.8633076,5.6
-87.5227834,33.2902197,7.6
-87.3010936,33.7915581,49.9
-88.1975644,31.4052172,-4.2
-87.3049349,31.9900824,3.2
-87.36529,34.1546073,13.1
-161.9974772,55.2450437,-28.9
179.6211882,51.948964,-32.1
-149.2843294,61.1742503,10.8
-160.1526246,60.9291413,-2.5
-156.9669094,58.7416473,-7.2
-150.0270164,63.6820386,-7
-158.2671226,59.5433255,-2
-146.5481586,64.6760436,-4
-135.5757906,59.0984037,4.3
-136.3207314,58.2534617,-9.3
-134.1784454,58.3729099,-0.1
-152.3222833,60.3666677,-6.7
-131.1066847,55.4499378,-21.7
-153.9183721,57.7044003,-6
-163.1901714,62.2835878,-3.4
-156.4134134,58.1085067,-6.4
-149.6190939,62.2790939,-7.7
-164.1889119,64.7836858,-6.3
-153.4728302,69.4493427,-1.7
-160.0210864,67.0050655,-2.2
-133.0085979,57.1124581,-19.9
-133.1623885,55.6827733,0.3
-135.3673965,57.1932044,-7.3
-135.3382787,59.5603794,19.5
