Location,Pctchange
AL,-9.4
AL,-2.3
AL,23.1
AL,8.3
AL,20.4
AL,17.3
AL,6.4
AL,16.8
AL,-14.3
AL,7.3
AL,-2.7
AL,9
AL,11
AL,-3
AL,7.1
AL,31.3
AL,-9.1
AL,21
AL,-1.5
AL,21.2
AL,19.3
AL,11.8
AL,29.3
AL,5
AL,7.1
AL,-0.7
AL,6.7
AL,-2
AL,4.3
AL,-3.2
AL,20.9
AL,9.5
AL,12.2
AL,14.5
AL,23.3
AL,13.1
AL,0.4
AL,4.9
AL,5.5
AL,4
AL,-3.5
AL,4
AL,5.7
AL,19.7
AL,6.9
AL,2.7
AL,13.2
AL,-2.6
AL,23.5
AL,7.8
AL,5.6
AL,9
AL,6.2
AL,8.3
AL,24.2
AL,11.5
AL,7.4
AL,-0.1
AL,-6.2
AL,2.4
AL,2.2
AL,5.6
AL,7.6
AL,49.9
AL,-4.2
AL,3.2
AL,13.1
AK,-28.9
AK,-32.1
AK,10.8
AK,-2.5
AK,-7.2
AK,-7
AK,-2
AK,-4
AK,4.3
AK,-9.3
AK,-0.1
AK,-6.7
AK,-21.7
AK,-6
AK,-3.4
AK,-6.4
AK,-7.7
AK,-6.3
AK,-1.7
AK,-2.2
AK,-19.9
AK,0.3
AK,-7.3
AK,19.5
AK,-1.5
AK,-9.2
AK,-27.3
AK,-5.4
AK,-6.9
AZ,15.2
AZ,-9.5
AZ,-1
AZ,30
AZ,6.8
AZ,11.6
AZ,23.1
AZ,2.8
AZ,0.3
AZ,8.8
AZ,0.1
AZ,14.4
AZ,-7.6
AZ,5.2
AZ,24
AR,14.2
AR,21.5
AR,11.1
AR,-5.2
AR,27.4
AR,27.7
AR,24.7
AR,30.4
AR,7.8
AR,8.4
AR,-3.2
AR,2.4
AR,14.8
AR,12.5
AR,15.5
AR,7.4
AR,9.8
AR,7
AR,10.5
AR,21.3
AR,18.3
AR,15.5
AR,9.9
AR,16.4
AR,11.4
AR,14
AR,18.4
AR,-2.6
AR,9.6
AR,15.4
AR,13
AR,17.9
AR,11.6
AR,10.2
AR,20.4
AR,27.2
AR,22.7
AR,13.4
AR,11.6
AR,21.7
AR,18.1
AR,11.7
AR,3.6
AR,24.9
AR,22.8
AR,20.8
AR,20
AR,18.1
AR,4.9
AR,16.8
AR,24.4
AR,22.8
AR,15.5
AR,-3.8
AR,4.6
AR,25.1
AR,11.1
AR,14.3
AR,10
AR,6.6
AR,1
AR,10
AR,14.2
AR,11
AR,11.9
AR,24.3
AR,10.3
AR,6.3
AR,2.4
AR,17.5
AR,5.7
AR,51.4
AR,21.1
AR,17.4
AR,23.5
CA,-12.9
CA,25.3
CA,23.5
CA,28.7
CA,20.7
CA,18.7
CA,-7.3
CA,5.4
CA,2.5
CA,10.7
CA,26.7
CA,36.5
CA,-5.1
CA,-0.4
CA,4.3
CA,10.3
CA,11.1
CA,7.7
CA,-2.6
CA,-6.7
CA,-19.6
CA,16
CA,9.5
CA,6.9
CA,5.2
CA,-3.4
CA,-0.1
CA,-5.1
CA,0.2
CA,-4
CA,-13.1
CA,6
CA,-3.8
CA,-0.2
CA,-1.4
CA,-4.1
CA,-4.4
CA,-0.9
CA,5.5
CA,-10
CA,-15.4
CA,-10.8
CA,-7.1
CA,-16.6
CA,10.2
CA,1.9
CA,17.1
CA,-1.3
CA,-5.7
CA,10.9
CA,6.5
CA,28.3
CA,20
CA,3.7
CA,18.2
CA,-15
CA,4.4
CA,9.7
CO,-5.9
CO,7.1
CO,0.2
CO,0.9
CO,8.5
CO,15.3
CO,3.9
CO,-18.3
CO,-4.8
CO,-0.4
CO,3.3
CO,7.1
CO,4.4
CO,15.1
CO,1.1
CO,11.6
CO,-15.1
CO,0.2
CO,1.6
CO,-9.5
CO,6.4
CO,19.5
CO,6.7
CO,1.9
CO,4.8
CO,0.8
CO,-5.5
CO,-1.6
CO,7.3
CO,3.3
CO,5.1
CO,8.9
CO,-1.3
CO,-4.2
CO,0.6
CO,4.1
CO,5.4
CO,11.2
CO,10.3
CO,13
CO,0.8
CO,12.3
CO,-0.9
CO,-2.7
CO,2.4
CO,17.3
CO,-13
CO,1.3
CO,7.2
CO,-11
CO,7.7
CO,-3.4
CO,9.6
CO,-0.1
CO,0.7
CO,-1.8
CO,-5.4
CO,-11.9
CO,13.4
CO,-4.9
CO,11
CO,2.6
CO,-2.8
CO,5
CT,-11.6
CT,-5.5
CT,-4.7
CT,-7.1
CT,-3.2
CT,-7.5
CT,-7.2
CT,-5.1
DE,-5.1
DE,-5.1
DE,-7.9
DC,4.2
FL,10.3
FL,8.9
FL,22.5
FL,3.1
FL,11.1
FL,-8.6
FL,18.8
FL,7.8
FL,35.2
FL,-0.5
FL,5
FL,9.8
